Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
New York Cop,1993,R,1993-08-14,93,"Action, Crime, Drama",Tôru Murakawa,"Hiroshi Kashiwabara, Jiro Ueno (story)","Tôru Nakamura, Chad McQueen, Mira Sorvino, Conan Lee","Allegedly based on a true story, this film follows the life of Toshi, a Japanese man living in America and working with the New York City police. After being recommended for undercover work...",English,Japan,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxNDY0MjMxOV5BMl5BanBnXkFtZTYwNzg3NjA5._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '4.3/10'}",N/A,4.3,166,tt0117169,movie,17 Oct 1995,N/A,N/A,N/A,True
Beyond Bedlam,1994,R,1994-04-22,89,"Comedy, Horror",Vadim Jean,"John Brosnan (novel), Vadim Jean, Rob Walker","Craig Fairbrass, Elizabeth Hurley, Keith Allen, Anita Dobson","Dr. Stephanie Lyell works for Neurological Research, and is testing a seemingly safe personality-altering drug on Marc Gilmour a notorious Serial Killer. But when a pair of bizarre suicides...",English,UK,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTczMDkzNTg0OF5BMl5BanBnXkFtZTcwMzk2NTAyMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '3.4/10'}",N/A,3.4,420,tt0106402,movie,17 Oct 1995,N/A,Metrodome Films,N/A,True
Nina Takes a Lover,1994,R,1995-03-03,100,"Comedy, Romance",Alan Jacobs,Alan Jacobs,"Laura San Giacomo, Paul Rhys, Michael O'Keefe, Cristi Conaway","When Ninas husband goes off for a few weeks to work, she meets and starts seeing a photographer. This story is told as an interview by a journalist writing about adultery who is talking ...",English,USA,1 nomination.,https://ia.media-imdb.com/images/M/MV5BMTY1MTU5Nzc3N15BMl5BanBnXkFtZTcwNzY4MTUyMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.6/10'}",N/A,5.6,523,tt0110671,movie,17 Feb 2004,N/A,Sony Pictures Home Entertainment,N/A,True
Natural Born Killers,1994,R,1994-08-26,118,"Crime, Drama",Oliver Stone,"Quentin Tarantino (story), David Veloz (screenplay), Richard Rutowski (screenplay), Oliver Stone (screenplay)","Woody Harrelson, Juliette Lewis, Tom Sizemore, Rodney Dangerfield",Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,"English, Navajo, Japanese",USA,Nominated for 1 Golden Globe. Another 5 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BMTI2NTU2Nzc0MV5BMl5BanBnXkFtZTcwMzY1OTM2MQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.3/10'}",74,7.3,"194,496",tt0110632,movie,25 Jan 2000,N/A,Warner Bros. Pictures,N/A,True
Only You,1994,PG,1994-10-07,115,"Comedy, Romance",Norman Jewison,Diane Drake,"Marisa Tomei, Robert Downey Jr., Bonnie Hunt, Joaquim de Almeida","Destiny. Faith (Marisa Tomei) believes that two soul-mates can be united if they find each other. From the Ouija board, she has found the name of her missing half, and it is D-A-M-O-N ...","English, Italian","USA, Italy",N/A,https://m.media-amazon.com/images/M/MV5BMmEzOWI2YTUtMDNkNS00MDRlLWFmMTctNDAyNTdiYjU5MDZiXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.5/10'}",N/A,6.5,"17,586",tt0110737,movie,20 Jan 2004,N/A,Sony Pictures Home Entertainment,N/A,True
Once Were Warriors,1994,R,1995-03-03,102,"Crime, Drama",Lee Tamahori,"Riwia Brown, Alan Duff (novel)","Rena Owen, Temuera Morrison, Mamaengaroa Kerr-Bell, Julian Arahanga",A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,"English, Maori, Spanish",New Zealand,22 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMjAzODA3MzE4NF5BMl5BanBnXkFtZTcwMjIwMzAwMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.9/10'}",N/A,7.9,"28,422",tt0110729,movie,02 Sep 2003,N/A,New Zealand Film Commission,N/A,True
Poison Ivy II,1996,R,1996-02-02,106,"Drama, Thriller",Anne Goursaud,Chloe King,"Alyssa Milano, Johnathon Schaech, Xander Berkeley, Belinda Bauer",Lily is a sheltered art student from Michigan going to school in California. She finds an apartment and her roommates aren't quite normal. One day she finds a box of items belonging to a ...,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMzI1NzYyMzc5MV5BMl5BanBnXkFtZTcwMjQwOTYyMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '4.4/10'}",N/A,4.4,"4,936",tt0114151,movie,02 Nov 1999,N/A,New Line Home Entertainment,N/A,True
Outbreak,1995,R,1995-03-10,127,"Action, Drama, Thriller",Wolfgang Petersen,"Laurence Dworet, Robert Roy Pool","Dustin Hoffman, Rene Russo, Morgan Freeman, Kevin Spacey",Army doctors struggle to find a cure for a deadly virus spreading throughout a California town that was brought to America by an African monkey.,"English, Korean, French",USA,5 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BZTg1Mzk1NjAtNGFlOS00NzdlLWI0NTgtYzlmNTUzZGQ0NjYzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.6/10'}",65,6.6,"98,570",tt0114069,movie,27 Aug 1997,N/A,Warner Home Video,N/A,True
Léon: The Professional,1994,R,1994-11-18,110,"Crime, Drama, Thriller",Luc Besson,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello","Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade.","English, Italian, French",France,5 wins & 11 nominations.,https://m.media-amazon.com/images/M/MV5BZDAwYTlhMDEtNTg0OS00NDY2LWJjOWItNWY3YTZkM2UxYzUzXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '8.6/10'}",64,8.6,"877,018",tt0110413,movie,15 Aug 2000,N/A,Columbia Pictures,N/A,True
The Perez Family,1995,R,1995-05-12,113,"Comedy, Romance, Drama",Mira Nair,"Christine Bell (novel), Robin Swicord (screenplay)","Marisa Tomei, Alfred Molina, Anjelica Huston, Chazz Palminteri","In an attempt to secure a sponsor, an unlikely group of Cuban refugees become a ""family"" as the U.S. Immigration and Naturalization Service gives families priority over others. In the ...",English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1MTI2Nzg0NF5BMl5BanBnXkFtZTcwOTcwOTc2NA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.1/10'}",N/A,6.1,"1,850",tt0114113,movie,01 Apr 2003,N/A,Hallmark Entertainment,N/A,True
A Pyromaniac's Love Story,1995,PG,1995-04-28,94,"Comedy, Romance",Joshua Brand,Morgan Ward,"William Baldwin, John Leguizamo, Sadie Frost, Erika Eleniak",A pastry boy and the son of a hair-piece mogul become involved in an arson scandal. Sergio is offered a bribe in exchange for taking the blame for the fire that destroys his workplace. ...,English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BZjlkYTg1NTgtZDJiMC00ODZlLTkwMDktYTU2ODVkNTkzODA1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.4/10'}",N/A,5.4,902,tt0114210,movie,06 Apr 2004,N/A,Buena Vista Pictures,N/A,True
Pulp Fiction,1994,R,1994-10-14,154,"Crime, Drama",Quentin Tarantino,"Quentin Tarantino (stories), Roger Avary (stories), Quentin Tarantino","Tim Roth, Amanda Plummer, Laura Lovelace, John Travolta","The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","English, Spanish, French",USA,Won 1 Oscar. Another 62 wins & 69 nominations.,https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '8.9/10'}",94,8.9,"1,565,763",tt0110912,movie,19 May 1998,N/A,Miramax Films,N/A,True
Pushing Hands,1991,NOT RATED,1991-12-07,105,"Comedy, Drama",Ang Lee,"Ang Lee, James Schamus","Sihung Lung, Lai Wang, Bozhao Wang, Deb Snyder","All the while, Master Chu tries to find his place in the foreign American world.","Mandarin, English","Taiwan, USA",5 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BMTIxMzk0MDYzNV5BMl5BanBnXkFtZTcwNTkwNTgxMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.3/10'}",N/A,7.3,"2,978",tt0105652,movie,23 Jan 1996,N/A,N/A,N/A,True
Priest,1994,R,1995-03-24,98,"Drama, Romance",Antonia Bird,Jimmy McGovern,"Linus Roache, Tom Wilkinson, Robert Carlyle, Cathy Tyson","A homosexual Catholic priest finds out during confessional that a young girl is being sexually abused by her father, and has to decide how to deal with both that secret and his own.",English,UK,4 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BYzAyYzQ0ODQtNzNhMi00NWVkLTk1YTItODE4Y2U4YmE0NDgzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.1/10'}",N/A,7.1,"8,898",tt0110889,movie,07 Sep 1999,N/A,Miramax Films,N/A,True
Quiz Show,1994,PG-13,1994-10-07,133,"Biography, Drama, History",Robert Redford,"Paul Attanasio (screenplay), Richard N. Goodwin (book)","John Turturro, Rob Morrow, Ralph Fiennes, Paul Scofield","A young lawyer, Richard Goodwin, investigates a potentially fixed game show. Charles Van Doren, a big time show winner, is under Goodwin's investigation.",English,USA,Nominated for 4 Oscars. Another 6 wins & 28 nominations.,https://m.media-amazon.com/images/M/MV5BNTYxNjdjMzUtYzAyNC00NWJhLWFlM2EtNWM4NDBhZmQ1YjJiXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.5/10'}",88,7.5,"59,247",tt0110932,movie,06 Mar 2001,N/A,Buena Vista Internationa,N/A,True
Picture Bride,1994,PG-13,1995-05-05,94,"Drama, Romance",Kayo Hatta,"Kayo Hatta (screenplay), Kayo Hatta (story), Mari Hatta (screenplay), Mari Hatta (story), Diane Mei Lin Mark (story)","Yûki Kudô, Cary-Hiroyuki Tagawa, Tamlyn Tomita, Akira Takayama",Riyo marries a man more than twice her age. She is devastated and labors in the sugar cane field. At the end she is able to love her husband.,"English, Japanese","Japan, USA",2 wins & 5 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMjgzNDE4Ml5BMl5BanBnXkFtZTcwMzkzNzQyMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",N/A,6.8,994,tt0114129,movie,01 Jun 2004,N/A,Miramax,N/A,True
Queen Margot,1994,R,1994-12-09,159,"Biography, Drama, History",Patrice Chéreau,"Alexandre Dumas (novel), Danièle Thompson (scenario & adaptation), Patrice Chéreau (scenario & adaptation), Danièle Thompson (dialogue)","Isabelle Adjani, Daniel Auteuil, Jean-Hugues Anglade, Vincent Perez","Young Queen Margot finds herself trapped in an arranged marriage amidst a religious war between Catholics and Protestants. She hopes to escape with a new lover, but finds herself imprisoned by her powerful and ruthless family.","French, Italian","France, Italy, Germany",Nominated for 1 Oscar. Another 9 wins & 12 nominations.,https://m.media-amazon.com/images/M/MV5BNTc4NTdjODgtZmI1MS00MDI5LWFhZjYtMjAzNTVhYzk1ZjFiXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.5/10'}",N/A,7.5,"14,921",tt0110963,movie,01 Jul 2003,N/A,Miramax Films,N/A,True
The Quick and the Dead,1995,R,1995-02-10,107,"Action, Romance, Thriller",Sam Raimi,Simon Moore,"Sharon Stone, Gene Hackman, Russell Crowe, Leonardo DiCaprio","A female gunfighter returns to a frontier town where a dueling tournament is being held, which she enters in an effort to avenge her father's death.","English, Spanish","Japan, USA",1 nomination.,https://m.media-amazon.com/images/M/MV5BOTI2ZTZmMmItMmM3YS00ZjUwLWJiODMtMmRjMWM4NDE0OWFhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.4/10'}",49,6.4,"75,957",tt0114214,movie,07 Nov 2000,N/A,Sony Pictures Entertainment,N/A,True
Roommates,1995,PG,1995-03-03,108,"Comedy, Drama",Peter Yates,"Max Apple (short story), Max Apple (story), Max Apple (screenplay), Stephen Metcalfe (screenplay)","Peter Falk, D.B. Sweeney, Julianne Moore, Ellen Burstyn","An elderly yet young-at-heart man moves in with his grandson, and both their lives turn upside-down.",English,USA,Nominated for 1 Oscar. Another 1 nomination.,https://ia.media-imdb.com/images/M/MV5BMDVjMDU0NDUtNzQxYy00MjgyLWI3ZTAtNjc1ZDAxMWE4NTAzXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.4/10'}",N/A,6.4,"1,541",tt0114296,movie,06 May 2003,N/A,Buena Vista,N/A,True
Ready to Wear,1994,R,1994-12-25,133,"Comedy, Drama",Robert Altman,"Robert Altman, Barbara Shulgasser","Marcello Mastroianni, Sophia Loren, Jean-Pierre Cassel, Kim Basinger",A chronicle of the interconnected lives of a group of people in the lead up to Paris Fashion Week.,"English, French, Italian, Russian, Spanish",USA,Nominated for 2 Golden Globes. Another 3 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BZWMwN2RiZDQtN2RkNS00YzJkLWI2ODMtODk1MzQxODE4NzU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.1/10'}",48,5.1,"13,364",tt0110907,movie,29 Jun 1999,N/A,Miramax,N/A,True
Three Colors: Red,1994,R,1994-11-23,99,"Drama, Mystery, Romance",Krzysztof Kieslowski,"Krzysztof Kieslowski, Krzysztof Piesiewicz","Irène Jacob, Jean-Louis Trintignant, Frédérique Feder, Jean-Pierre Lorit",A model discovers her neighbor is keen on invading people's privacy.,French,"Switzerland, France, Poland",Nominated for 3 Oscars. Another 17 wins & 21 nominations.,https://m.media-amazon.com/images/M/MV5BYTg1MmNiMjItMmY4Yy00ZDQ3LThjMzYtZGQ0ZTQzNTdkMGQ1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '8.1/10'}",100,8.1,"75,602",tt0111495,movie,04 Mar 2003,N/A,Miramax Films,N/A,True
Three Colors: Blue,1993,R,1993-09-08,98,"Drama, Music, Mystery, Romance",Krzysztof Kieslowski,"Krzysztof Kieslowski (scenario), Krzysztof Piesiewicz (scenario), Agnieszka Holland (scenario collaborator), Edward Zebrowski (scenario collaborator), Slawomir Idziak (scenario collaborator)","Juliette Binoche, Benoît Régent, Florence Pernel, Charlotte Véry",A woman struggles to find a way to live her life after the death of her husband and child.,"French, Romanian, Polish","France, Poland, Switzerland",Nominated for 3 Golden Globes. Another 20 wins & 14 nominations.,https://m.media-amazon.com/images/M/MV5BZGJhNDdmMWMtNzZiYy00MmFiLThjNmUtYTE1ZjRkNjdjYmQ5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '8.0/10'}",85,8.0,"74,376",tt0108394,movie,04 Mar 2003,N/A,Miramax Films,N/A,True
Three Colors: White,1994,R,1994-06-10,91,"Comedy, Drama, Romance",Krzysztof Kieslowski,"Krzysztof Kieslowski (scenario), Krzysztof Piesiewicz (scenario), Agnieszka Holland (scenario collaborator), Edward Zebrowski (scenario collaborator), Edward Klosinski (scenario collaborator), Marcin Latallo (dialogue translation)","Zbigniew Zamachowski, Julie Delpy, Janusz Gajos, Jerzy Stuhr","After his wife divorces him, a Polish immigrant plots to get even with her.","Polish, French","Switzerland, France, Poland",1 win & 4 nominations.,https://m.media-amazon.com/images/M/MV5BNTliYTI1YTctMTE0Mi00NDM0LThjZDgtYmY3NGNiODBjZjAwXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.7/10'}",88,7.7,"51,916",tt0111507,movie,04 Mar 2003,N/A,Miramax Films,N/A,True
Rent-a-Kid,1995,G,1995-11-04,85,"Drama, Family, Comedy",Fred Gerber,Paul Bernbaum,"Leslie Nielsen, Christopher Lloyd, Matt McCoy, Sherry Miller","Harry Habert, owner of a rent office has an original idea: To rent babies from a nearby orphanage to the local families. He rents the Ward brothers to his first customers...",English,"USA, Canada",1 win.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjYwMzA3Njg2MF5BMl5BanBnXkFtZTcwOTI1NDMzMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.4/10'}",N/A,5.4,"1,597",tt0114268,movie,19 Dec 1995,N/A,Republic Pictures Home Video,N/A,True
Relative Fear,1994,R,1995-10-03,94,"Drama, Horror, Thriller",George Mihalka,Kurt Wimmer,"Darlanne Fluegel, Martin Neufeld, James Brolin, Denise Crosby",Just why are people surrounding Adam Pratman dropping down dead? Is this five year old really a murderous sociopath?,English,Canada,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BYTAyMDBkYTgtNzNhOC00ZWFmLWFlYjEtMzA0MGY4MDEwZjM2XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.7/10'}",N/A,5.7,253,tt0110965,movie,06 Sep 2005,N/A,Republic Pictures Home Video,N/A,True
Stuart Saves His Family,1995,PG-13,1995-04-12,95,"Comedy, Drama",Harold Ramis,"Al Franken (screenplay), Al Franken (book)","Al Franken, Laura San Giacomo, Vincent D'Onofrio, Shirley Knight",A self-help advocate struggles to put his dysfunctional family in its place.,English,"Germany, USA",2 nominations.,https://m.media-amazon.com/images/M/MV5BMTMwODE1MDkxOF5BMl5BanBnXkFtZTcwNTEyNzIyMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.3/10'}",54,5.3,"2,434",tt0114571,movie,17 Apr 2001,N/A,Paramount Home Video,N/A,True
The Swan Princess,1994,G,1994-11-18,90,"Animation, Comedy, Family",Richard Rich,"Richard Rich (story), Brian Nissen (story), Brian Nissen (screenplay)","Jack Palance, Howard McGillin, Michelle Nicastro, Liz Callaway",A power hungry sorcerer transforms a princess into a swan by day in this tale of everlasting love.,English,USA,Nominated for 1 Golden Globe. Another 1 win & 7 nominations.,https://m.media-amazon.com/images/M/MV5BNDM2OGM1MjAtYjA3Zi00NzEzLWFiOWMtYjg4MDdiMzYzMWVkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDA5Mjg5MjA@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.5/10'}",N/A,6.5,"19,917",tt0111333,movie,30 Mar 2004,N/A,New Line Cinema,N/A,True
The Secret of Roan Inish,1994,PG,1995-02-03,103,"Drama, Family, Fantasy",John Sayles,"Rosalie K. Fry (book), John Sayles (screenplay)","Jeni Courtney, Pat Slowey, Dave Duffy, Declan Hannigan",Young Fiona lives with her grandparents in a small fishing village where she takes an active role to unravel the mysterious secrets.,"English, Irish","USA, Ireland",1 win & 9 nominations.,https://m.media-amazon.com/images/M/MV5BNTY3MTAzMDI4MF5BMl5BanBnXkFtZTcwMjE3NTYyMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.5/10'}",N/A,7.5,"6,439",tt0111112,movie,25 Jul 2000,N/A,Samuel Goldwyn Films,N/A,True
The Specialist,1994,R,1994-10-07,110,"Action, Crime, Drama, Romance, Thriller",Luis Llosa,"John Shirley (Specialist novels), Alexandra Seros","Sylvester Stallone, Sharon Stone, James Woods, Rod Steiger",A woman entices a bomb expert she's involved with into destroying the mafia that killed her family.,English,"Peru, USA",4 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BYjMwZDMwZTItMTc2MC00NDRlLWI3YmUtNTg0ZmQ3MzdhNDJmXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.5/10'}",N/A,5.5,"56,532",tt0111255,movie,24 Feb 1998,N/A,Warner Home Video,N/A,True
Stargate,1994,PG-13,1994-10-28,116,"Action, Adventure, Sci-Fi",Roland Emmerich,"Dean Devlin, Roland Emmerich","Kurt Russell, James Spader, Jaye Davidson, Viveca Lindfors","An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.","English, Norwegian, Swedish, Egyptian (Ancient), Arabic","France, USA",6 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BYWEyYTQzNzQtZTg5OS00NDhkLTg1NjYtMzA5Y2MyYjYzNWQ5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.1/10'}",42,7.1,"162,041",tt0111282,movie,17 Jun 1997,N/A,Artisan Home Entertainment,N/A,True
The Santa Clause,1994,PG,1994-11-11,97,"Comedy, Drama, Family",John Pasquin,"Leo Benvenuti, Steve Rudnick","Tim Allen, Judge Reinhold, Wendy Crewson, Eric Lloyd","When a man inadvertantly kills Santa on Christmas Eve, he finds himself magically recruited to take his place.","English, Spanish",USA,2 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BMTZlNzk1MjItYjJlYy00MTAxLWJkNjEtZmNiNmVlNjQ4NDE5XkEyXkFqcGdeQXVyMzI0NDc4ODY@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.4/10'}",57,6.4,"78,510",tt0111070,movie,13 Oct 1998,N/A,Buena Vista Distribution Compa,N/A,True
The Shawshank Redemption,1994,R,1994-10-14,142,Drama,Frank Darabont,"Stephen King (short story ""Rita Hayworth and Shawshank Redemption""), Frank Darabont (screenplay)","Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",English,USA,Nominated for 7 Oscars. Another 19 wins & 32 nominations.,https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '9.3/10'}",80,9.3,"2,005,476",tt0111161,movie,27 Jan 1998,N/A,Columbia Pictures,N/A,True
Shallow Grave,1994,R,1995-02-10,89,"Crime, Thriller",Danny Boyle,John Hodge,"Kerry Fox, Christopher Eccleston, Ewan McGregor, Ken Stott",Three friends discover their new flatmate dead but loaded with cash.,English,UK,14 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BZmVmOWVlODYtOTQ0Yy00ODY1LTgwZjMtYWFhOWQ3ODhmYjliL2ltYWdlXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.3/10'}",67,7.3,"51,016",tt0111149,movie,22 Dec 1998,N/A,PolyGram Video,N/A,True
Suture,1993,NOT RATED,1994-08-24,96,"Drama, Thriller","Scott McGehee, David Siegel","Scott McGehee, David Siegel","Dennis Haysbert, Mel Harris, Sab Shimono, Dina Merrill","After his brother tries to kill him, a man survives only to find himself in another man's body.",English,USA,2 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BOTc0ODlkMzEtNjE5My00ODA2LTg5ZjMtYWFjOTE1ZmNmMzk0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.6/10'}",N/A,6.6,"1,513",tt0108260,movie,23 Jan 2001,N/A,Hallmark Entertainment,N/A,True
Strawberry and Chocolate,1993,R,1995-01-20,108,"Comedy, Drama, Romance","Tomás Gutiérrez Alea, Juan Carlos Tabío","Tomás Gutiérrez Alea (collaboration), Senel Paz (screenplay), Senel Paz (story ""The Wolf,  The Forest and the New Man"")","Jorge Perugorría, Vladimir Cruz, Mirta Ibarra, Francisco Gattorno","This Oscar nominated film is the story of two men who are opposites, one gay, the other straight, one a fierce communist, the other a fierce individualist, one suspicious, the other accepting, and how they come to love each other.","Spanish, English, French","Cuba, Mexico, Spain, USA",Nominated for 1 Oscar. Another 25 wins & 1 nomination.,https://ia.media-imdb.com/images/M/MV5BMzhjMDQ1YTctNTNmNS00NDZjLWFjYjUtM2FhZTA2NmYxZjJlXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.5/10'}",N/A,7.5,"4,679",tt0106966,movie,14 Nov 1995,N/A,Miramax Films,"http://for brief strong sexuality, and for language",True
Swimming with Sharks,1994,R,1995-04-21,93,"Comedy, Crime",George Huang,George Huang,"Kevin Spacey, Frank Whaley, Michelle Forbes, Benicio Del Toro","A young, naive Hollywood studio assistant finally turns the tables on his incredibly abusive producer boss.",English,USA,4 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BZjNhZmVmZGQtMTQ3OS00YWEzLThjMWUtMWFiNjA3YzQ1Yjg0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.1/10'}",66,7.1,"20,478",tt0114594,movie,18 Aug 1998,N/A,Trimark,N/A,True
The Sum of Us,1994,R,1995-03-08,100,"Comedy, Drama","Geoff Burton, Kevin Dowling","David Stevens (play), David Stevens (screenplay)","Jack Thompson, Russell Crowe, John Polson, Deborah Kennedy","A widowed father has to deal with two complex issues: while he is searching for ""Miss Right,"" his son, who is in his 20s and gay, is searching for ""Mr. Right.""",English,Australia,6 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BMTA0NjExNjQ3NTdeQTJeQWpwZ15BbWU3MDczNjcyOTQ@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.3/10'}",N/A,7.3,"4,699",tt0111309,movie,03 Jun 2003,N/A,Hallmark Entertainment,N/A,True
Senior Trip,1995,R,1995-09-08,91,"Adventure, Comedy",Kelly Makin,"Roger Kumble, I. Marlene King","Matt Frewer, Valerie Mahaffey, Lawrence Dane, Tommy Chong","While on detention, a group of misfits and slackers have to write a letter to the President explaining what is wrong with the education system. There is only one problem, the President ...",English,"Canada, USA",N/A,https://m.media-amazon.com/images/M/MV5BMzNjNDA3MjEtZDMzZi00YTIzLWE5MzYtYzg1NDE3MjNjMmY4XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.6/10'}",N/A,5.6,"5,024",tt0113936,movie,01 Jun 2004,N/A,New Line Home Entertainment,N/A,True
